Season,Sector,Category,Crop,QueryType,QueryText,KccAns,StateName,DistrictName,BlockName,CreatedOn
,HORTICULTURE,Vegetables,Bitter Gourd,"	Plant Protection	",Bitter gourd which is fruiting stage fruits are showing yellowing which chemical should be sprayed?,Recommended to foliar spray -   SAGARIKA 25ml/10lit of water .,KARNATAKA,BELGAUM,KHANAPUR,46:46.4
,AGRICULTURE,Millets,Maize (Makka),"	Plant Protection	",Asked about  pest management of  maize,recommended to spray emamectin benzoate 4g/litre,KARNATAKA,BELGAUM,RAYBAG,01:57.4
,AGRICULTURE,Sugar and Starch Crops,Sugarcane (Noble Cane),Fertilizer Use and Availability,ASKED ABOUT NUTRIENT MANAGEMENT SUGARCANE,RECOMMENDED TO APPLY 10;26;26,KARNATAKA,BELGAUM,RAYBAG,43:16.2
,AGRICULTURE,Others,Others,Weather,Asked about weather report of taluk,Precipitation 0%Hazy sunshine; hot; air quality will be unhealthy for sensitive groups,KARNATAKA,BELGAUM,RAYBAG,49:14.6
,AGRICULTURE,Others,Others,Market Information,Asked about market rate of Turmeric.,MarketVarietyGradeArrivalsUnitsMin (Rs.)Max (Rs.)Modal (Rs.)BENGALURUTurmeric StickAverage65Quintal85001450011500,KARNATAKA,BELGAUM,CHIKODI,13:33.6
,AGRICULTURE,Others,Others,Cultural Practices,asked about crop insurance contact number,"Crop insurance,08022074123, 18004257919,,",KARNATAKA,BELGAUM,PARASGAD,29:04.4
,HORTICULTURE,Vegetables,Bitter Gourd,"	Plant Protection	",Asked about plant protection in bitter gourd,solomon 2 ml per liter of water,KARNATAKA,BELGAUM,BYLAHONGAL,04:53.0
,HORTICULTURE,Vegetables,Chillies,"	Plant Protection	",Asked about Plant Protection in CHILLI,"Leaf curl diseaseYellow mixed green leaves, the irregular leaf size with curled leaves, stunted growth of the plants. It is virus disease.Spray 2.5 ml. - 5 per cent garlic extraact + green chille extract + kerosine + neem based insecticides in a lit. water.Raise the seedlings in 40 mesh nylon netting.15 days after transplanting spray 1.0 ml. neem oil or 1.7 ml. Triazophos 40 EC.OR2.5 ml. Dicofol 18.5 EC.OR0.3 ml. Imidacloprid 17.8 SL./lit. water. Repeat the spray at an interval of 10 days, around 200 lit. spray solution/acre/spray.",KARNATAKA,BELGAUM,KHANAPUR,19:39.9
,AGRICULTURE,Others,Others,Weather,Asked about taluk Weather report of  chikodi,"There is no chance of  rain today. For accurate weather forecast information, please contact weather helplines. Varunamitra: 9243345433, 1800220161, 08022211118, 08022235675.",KARNATAKA,BELGAUM,CHIKODI,07:08.0
,AGRICULTURE,Others,Others,Weather,Asked about weather report of Hukeri taluk,"Partly cloudy,Precipitation 0% there is no chances of occurrence of rain for a week.",KARNATAKA,BELGAUM,HUKERI,16:12.7
,AGRICULTURE,Others,Others,Weather,Network Problem Voice not audible,Network Problem Voice not audible,KARNATAKA,BELGAUM,RAMDURG,17:58.3
,HORTICULTURE,Vegetables,Onion,Cultural Practices,Asked about  Sowing season in ONION,"Recommended to take sowing inJune - July,Sept - Oct,Jan - Feb",KARNATAKA,BELGAUM,RAMDURG,21:10.9
,AGRICULTURE,Sugar and Starch Crops,Sugarcane (Noble Cane),Nutrient Management,ASKED ABOUT NUTRIENT MANAGEMENT IN SUGARCANE CROP,Recommended to apply basal dosebefore sowing  DAP 87 KG and MOP 83 Kg after 45 day after sowing apply urea 42 kgafter 75 day after sowing apply urea 63 kgafter 105 day after sowing apply urea 87 kg,KARNATAKA,BELGAUM,CHIKODI,31:14.4
,AGRICULTURE,Others,Others,Weather,CALL DISCONNECTED,CALL DISCONNECTED,KARNATAKA,BELGAUM,ATHNI,47:37.4
,AGRICULTURE,Others,Others,Weather,Asked about cultural practices inWEED MANGEMENT,Weed managementSpray the soil with 1 kg Atrazine 50% WP. or 1 kg Diuron 80% or 600 g. Metribuzin 70% WP /acre dissolved in 300 liters of water on 2 - 3 days after planting.Repeat the above spray at 25 days on weeds. These weedicides control wide leaf and cupreous weeds.Maintain fine soil tilth and optimum moisture in the soil at the time of spraying.Give 3 - 4 intercultivation and control the weeds.,KARNATAKA,BELGAUM,CHIKODI,13:48.7
,HORTICULTURE,Vegetables,Chillies,"Water Management, Micro Irrigation",Asked about sprinkler adoption in crop.,Recommended to contact horticultural department.,KARNATAKA,BELGAUM,BYLAHONGAL,31:27.6
,AGRICULTURE,Sugar and Starch Crops,Sugarcane (Noble Cane),"	Plant Protection	",ASKED ABOUT PLANT PROTECTION IN SUGARCANE CONTROL OF SHOOT BORER,Recommended to  Spray 2.0 ml Chlorpyriphos 20 EC./lit. water.,KARNATAKA,BELGAUM,PARASGAD,33:54.6
,HORTICULTURE,Vegetables,Ridge Gourd,"	Plant Protection	",Asked about tonic spray in ridge gourd.,Recommended to spray vegetable special 4 to 5 gram per liter of water. and multiplex micronutrient tonic 4 to 5 gram per liter of water.,KARNATAKA,BELGAUM,KHANAPUR,39:30.3
,AGRICULTURE,Pulses,Rajma (french bean),"	Plant Protection	","bean which is 2 months crop,the flowers are dropping.How it can be controlled?","This is not a disease.Due to very less moisture in the atmosphere,this is happening(high temperature). and then spray multiplex tonic @ 2 ml/lt.water.",KARNATAKA,BELGAUM,HUKERI,46:20.3
,AGRICULTURE,Vegetables,Watermelon,Market Information,Asked about Market Price for water melon,Market               Market Date   Variety   Minimum PriceMaximum PriceModal PriceBINNY MILL (F&V)01/04/2019Water Melon     400                     1400                      1000RAMANAGARA29/03/2019Water Melon    1400              1600                      1500,KARNATAKA,BELGAUM,BYLAHONGAL,28:10.5
,AGRICULTURE,Others,Others,Weather,asked about general information,information given,KARNATAKA,BELGAUM,CHIKODI,59:50.0
,AGRICULTURE,Others,Others,Weather,CALL DISCONNECTED BEFORE RECEIVING,CALL DISCONNECTED BEFORE RECEIVING,KARNATAKA,BELGAUM,BYLAHONGAL,47:39.2
,AGRICULTURE,Others,Others,Government Schemes,Asked about kisan credit card,"Features and benefits of KISAN CREDIT CARDGet interest at saving bank rate on credit balance in KCC accountFree ATM cum debit card (State Bank Kisan Card) for all KCC borrowersInterest subvention @2%p.a.is available for loan amount uptoRs. 3 LacsAdditional interest subvention @3% p.a.for prompt repaymentsnotified crops / notified areas are covered under crop insurance for all KCC loansEligibility :All farmers ï¿½ï¿½ï¿½ individuals/Joint cultivator ownersTenant farmers, oral lessees and share croppers etc.SHGs or Joint liability groups including tenant farmers.Quantum of loan:Quantum of loan for 1st year will be assessed on the basis of Cost of cultivation, post-harvest expenses and farm maintenance costFor subsequent 5 year loan wï¿½ï¿½ill be sanction on the basis of increase in scale of financeCollateral Security :Collateral security is waived for KCC limit uptoRs. 1 lac.SanctionedKCClimit will beconsidered for the purpose of fixingcollateral security requirementRate of Interest :Simple interest @7% p.awill  for one year or upto the repayment due date, whichever is earlier.In case of non-repayment within the due dates interest is applied at card rateBeyond due date interest will be compounded half yearlyRepayment :The repayment period may be fixed as per the anticipated harvesting and marketing period for the crops for which a loan has been granted.Documents requiredDuly filled in application formIdentity proof- Voter ID card/PAN card/Passport/ Aadhaar card,/Driving License etcAddress proof: Voter ID card/Passport/Aadhaar card/Driving license etcHow to applyContact your nearest SBI branch for application and further details",KARNATAKA,BELGAUM,BYLAHONGAL,55:04.3
,HORTICULTURE,Vegetables,Chillies,"	Plant Protection	",Asked about plant protection in chilly,"Recommended to spray 0.3 ml. Imidacloprid 17.8 SL./lit. water. Repeat the spray at an interval of 10 days, around 200 lit. spray solution/acre/spray.",KARNATAKA,BELGAUM,BYLAHONGAL,57:32.1
,AGRICULTURE,Sugar and Starch Crops,Sugarcane (Noble Cane),Fertilizer Use and Availability,"Sugarcane which is 7 months crop,which fertilizer should be given now?",Recommended  Urea(Nitrogenous fertilizer) should be given now as top fertlizer.Apply 350 kgs of urea and potash 50 kgs for 1 ac area as top dressing fertilizer.,KARNATAKA,BELGAUM,ATHNI,15:10.3
,HORTICULTURE,Vegetables,Chillies,"	Plant Protection	",How to control borer insects in Chilli crop?,"Spray Chloropyriphos only @ 2 ml /lt.water,also add 5 gms of jaggery to this solution.",KARNATAKA,BELGAUM,KHANAPUR,39:41.3
,HORTICULTURE,Vegetables,Chillies,"Water Management, Micro Irrigation",ASKED ABOUT DRIP SYSTEM TO ADOPT IN CHILLI CROP.,Recommended to contact Horticulture department at near by Taluk.,KARNATAKA,BELGAUM,PARASGAD,25:07.2
,HORTICULTURE,Plantation Crops,Coconut,"	Plant Protection	",Asked about Nutrient management of coconut,"Urea 700g, SSP 1.2kg, MOP   1.3kg per palm per 6 months and irrigate properly",KARNATAKA,BELGAUM,RAMDURG,30:14.5
,AGRICULTURE,Others,Others,Weather,Asked about taluk Weather report of  bailahongal,"There is no chance of  rain today. For accurate weather forecast information, please contact weather helplines. Varunamitra: 9243345433, 1800220161, 08022211118, 08022235675.",KARNATAKA,BELGAUM,BYLAHONGAL,39:56.1
,AGRICULTURE,Sugar and Starch Crops,Sugarcane (Noble Cane),Sowing Time and Weather,ASKED ABOUT SOWING SEASON,VarietiesTransplantingDuration(months)Fertilizers (kg. /acre)AreasNPKCo - 62175June - AugOct - Nov12 - 14,KARNATAKA,BELGAUM,RAYBAG,28:43.1
,AGRICULTURE,Fiber Crops,Cotton (Kapas),Sowing Time and Weather,ASKED ABOUT VARIETAL DESCRIPTION,Vijathi Shaktiman hybrids D.H.B -105,KARNATAKA,BELGAUM,GOKAK,07:26.9
,HORTICULTURE,Vegetables,Bitter Gourd,"	Plant Protection	",ASKED ABOUT DISEASE CONTROL IN,Up root and burn such disease vines. Spary 1.7 ml. Dimethoate 30 EC.OR0.5 ml. Imidachloprid 17.8 SL. in a lit. water. Spray 200 lit. spray mixture/acre.,KARNATAKA,BELGAUM,HUKERI,36:49.0
,AGRICULTURE,Others,Others,Weather,ASKED ABOUT ROOTGRUB MENANCE,SUGGESTED TIMET APPLICATION 5KG/ACRE,KARNATAKA,BELGAUM,BYLAHONGAL,34:22.9
,HORTICULTURE,Vegetables,Chillies,"	Plant Protection	",Asked about plant protection in CHILLY,"Recommended to spray  0.3 ml. Imidacloprid 17.8 SL./lit. water. Repeat the spray at an interval of 10 days, around 200 lit. spray solution/acre/spray.",KARNATAKA,BELGAUM,CHIKODI,53:01.7
,AGRICULTURE,Sugar and Starch Crops,Sugarcane (Noble Cane),Cultural Practices,ASKED ABOUT NUTRIENT MANAGEMENT SUGARCANE,RECOMMENDED TO SPRAY19;19;19,KARNATAKA,BELGAUM,ATHNI,29:12.8
,AGRICULTURE,Others,Others,Credit,Asked about General information,information given,KARNATAKA,BELGAUM,ATHNI,30:27.3
,HORTICULTURE,Fruits,Ber,Cultural Practices,Asked about cultural practices  in BER,"suggested that land should be prepared by ploughing harrowing fine levelling and removing weeds the suitable varieties are umran, karaka and ilaichi",KARNATAKA,BELGAUM,HUKERI,30:50.7
,HORTICULTURE,Vegetables,Chillies,"	Plant Protection	",Asked about Disease management of chilly,recommended to spray carbendizim 2g/litre,KARNATAKA,BELGAUM,KHANAPUR,34:27.9
,AGRICULTURE,Others,Others,Market Information,Asked about general information in saguvani tree,suggested to contact forestry department,KARNATAKA,BELGAUM,ATHNI,35:40.9
,HORTICULTURE,Fruits,Guava,Field Preparation,Which are varieties suitable to take sowing operation now Guava crops?,"To take kharif crop June-July is best suitable season and The varieties suitable are Allahabad Safeda, Sardar (Lucknow - 49), Arka mrudula (Hybrid - 1), Navlur",KARNATAKA,BELGAUM,ATHNI,50:47.9
,AGRICULTURE,Others,Others,Government Schemes,Asked about General information  IRIIRIGATION,,KARNATAKA,BELGAUM,RAMDURG,17:56.2
,ANIMAL HUSBANDRY,Animal,Sheep,"Animal Production (Piggery, Goatery, Sheep Farming etc.)",Asked about Goat farming,Recommended to contact 1800 425 0012,KARNATAKA,BELGAUM,RAYBAG,01:10.2
,ANIMAL HUSBANDRY,Animal,"Bovine(Cow,Buffalo)","Animal Production (Piggery, Goatery, Sheep Farming etc.)",ASKED ABOUT ANIMAL HUSBENDARY,"veterinary helpline080-23417100,1800 425 0012",KARNATAKA,BELGAUM,RAYBAG,40:39.6
,AGRICULTURE,Others,Others,Cultural Practices,Asked about General information,Given as per the guidelines,KARNATAKA,BELGAUM,HUKERI,03:57.1
,AGRICULTURE,Others,Others,Weather,Asked about weather report,Precipitation 12%HazyWinds from theW 13 km/hGusts: 17 km/hMax UV Index: N/A,KARNATAKA,BELGAUM,HUKERI,33:05.8
,AGRICULTURE,Others,Others,Weather,Asked about taluk Weather report of  athni,"There is no chance of  rain today. For accurate weather forecast information, please contact weather helplines. Varunamitra: 9243345433, 1800220161, 08022211118, 08022235675.",KARNATAKA,BELGAUM,ATHNI,06:13.1
,AGRICULTURE,Others,Others,Cultural Practices,ASKED ABOUT GENERAL INFORMATION,ASKED ABOUT GENERAL INFORMATION,KARNATAKA,BELGAUM,HUKERI,06:40.5
,AGRICULTURE,Others,Others,Weather,Asked about weather report of taluk Savdatti,03 Apr035.0  / 20.050.0  / 83.01.904 Apr036.0  / 21.011.0  / 07.005 Apr035.0  / 20.018.0  / 010.006 Apr034.0  / 20.023.0  / 06.007 Apr036.0  / 21.019.0  / 07.008 Apr037.0  / 22.013.0  / 012.0Mandi DetailsCommodity DetailsQuery Details :- CDR Id : [1001794093B0190403] Call Id: [1001794093B0190403] Caller Id: [KA15809945] Agent Id: [15032] Weather   Market Information  OtherAgri/Hort/AH/Fish * Category Crop/Live Stock/Activity Query Type *,KARNATAKA,BELGAUM,PARASGAD,09:37.2
,HORTICULTURE,Vegetables,Cabbage,"	Plant Protection	",Asked about  pest management in cabbage,0.5 g.Streptomycin sulphate with 3.0 g. Copperoxychloride 50 WP./lit. water. + Imidachloprid 0.5ml per lit of water,KARNATAKA,BELGAUM,BELGAUM,33:48.9
,HORTICULTURE,Vegetables,Tomato,Cultural Practices,Asked about General information,Given as per the guidelines,KARNATAKA,BELGAUM,CHIKODI,06:45.4
,AGRICULTURE,Others,Others,Weather,Asked about taluk Weather report of  athni,"There is no chance of  rain today. For accurate weather forecast information, please contact weather helplines. Varunamitra: 9243345433, 1800220161, 08022211118, 08022235675.",KARNATAKA,BELGAUM,ATHNI,20:12.5
,AGRICULTURE,Others,Others,Weather,Asked about weather report of  Taluk,given varunamitra no 9243345433,KARNATAKA,BELGAUM,ATHNI,50:26.0
,HORTICULTURE,Vegetables,Cabbage,"Water Management, Micro Irrigation",Asked about water management  in cabbage.,Irrigate the crop once in 4 - 5 days depending on soil and climatic conditions.,KARNATAKA,BELGAUM,CHIKODI,25:04.5
,HORTICULTURE,Plantation Crops,Coconut,"	Plant Protection	",Asked about Disease management of coconut and arecanut,recommended to apply bordeaux  mixture 3g/litre.,KARNATAKA,BELGAUM,BELGAUM,47:39.9
,HORTICULTURE,Vegetables,Bitter Gourd,Seeds and Planting Material,Asked about sowing time of Bitter gourd,best time-June - July and January - February,KARNATAKA,BELGAUM,BYLAHONGAL,11:46.0
,HORTICULTURE,Vegetables,Chillies,Nutrient Management,Asked about Nutrient management in chilli.,Recommended to spray:-19:19:19 @ 5g/lit of water and also suggested to topdress urea @ 25kg/acre.,KARNATAKA,BELGAUM,KHANAPUR,49:32.2
,HORTICULTURE,Fruits,Custard Apple,Cultural Practices,ASKED ABOUT CULTURAL PRACTICE in CUSTARD APPLE,RECOMMENDED TO CONTACT SEEDS ARE TREATED WITH 0.2%KNO3,KARNATAKA,BELGAUM,HUKERI,55:51.1
,AGRICULTURE,Others,Others,"	Field Preparation	",ASKED ABOUT APRIL FIELD CROPS:,"APRILFIELD CROPS:ï¿½ï¿½ï¿½JOWAR  -----  C.S.H-5, 9, C.S.V-4ï¿½ï¿½ï¿½RAGI ---- INDOF-9ï¿½ï¿½ï¿½SESAMUM (YELLU) --- NAVILE-1, T-7ï¿½ï¿½ï¿½COWPEA (ALASANDHE) --- T.V.X-944, K.B.C-1ï¿½ï¿½ï¿½GREEN GRAM ---- P.S-16, P.D.M-84, 178ï¿½ï¿½ï¿½BLACKGRAM (UDDU)  -----  KAREGOW-3, T-9, L.B.G-625 (RASHMI",KARNATAKA,BELGAUM,ATHNI,07:18.8
,AGRICULTURE,Others,Others,Cultural Practices,Asked about sandalwood trees,Suggested to contact atic gkvk helpline080 23410560 ...,KARNATAKA,BELGAUM,RAYBAG,53:26.8
,AGRICULTURE,Others,Others,Weather,Asked about weather report of chikodi,Precipitation 1%Hazy sunshine; very warm; air quality will be unhealthy for sensitive groups,KARNATAKA,BELGAUM,CHIKODI,28:26.2
,AGRICULTURE,Sugar and Starch Crops,Sugarcane (Noble Cane),Nutrient Management,ASKED ABOUT NUTRIENT MANAGEMENT OF SUGARCANE,Recommended to applyDAP and potash,KARNATAKA,BELGAUM,ATHNI,46:48.0
,HORTICULTURE,Flowers,Marigold,"	Plant Protection	",Asked about Plant Protection in marigold,Recommended to spray Imidacloprid 17.8 SL. 250 lit. spray solution required/acre.,KARNATAKA,BELGAUM,GOKAK,14:55.4
,AGRICULTURE,Others,Others,Weather,Asked about weather report ofATHANI,Scattered thunderstorms. High 39ï¿½ï¿½C. Winds SSW at 10 to 15 km/h. Chance of rain ,KARNATAKA,BELGAUM,ATHNI,36:52.4
,AGRICULTURE,Sugar and Starch Crops,Sugarcane (Noble Cane),"	Plant Protection	",asked to control Seedling borer,Spray 2.0 ml Chlorpyriphos 20 EC./lit. water.,KARNATAKA,BELGAUM,HUKERI,37:29.5
,HORTICULTURE,Vegetables,Chillies,Nutrient Management,asked about nutrient management,Irrigated crop:Farm yard manure: 10 tons/acre.Chemical fertilizers (kg/acre): N: P: P: 60: 30: 30Rainfed crop:Farm yard manure: 10 tons/ac.Chemical fertilizers (kg/acre): N: P: K: 40: 20: 20Top dress:Top dress the crop 6 weeks after transplanting.Second top dress to given 10 weeks after transplanting and earth up the crop.,KARNATAKA,BELGAUM,BYLAHONGAL,54:16.3
,HORTICULTURE,Vegetables,Chillies,Bio-Pesticides and Bio-Fertilizers,Nutrient Management,Irrigated crop:Farm yard manure: 10 tons/acre.Chemical fertilizers (kg/acre): N: P: P: 60: 30: 30Rainfed crop:Farm yard manure: 10 tons/ac.Chemical fertilizers (kg/acre): N: P: K: 40: 20: 20Top dress:Top dress the crop 6 weeks after transplanting.Second top dress to given 10 weeks after transplanting and earth up the crop.,KARNATAKA,BELGAUM,BYLAHONGAL,58:49.0
,HORTICULTURE,Vegetables,Chillies,Seeds and Planting Material,Asked about arka varieties for purchase,Further more details please kindly contact IIHR ETIC GENERAL 8023086100Extension number 422iihr atic28446815,KARNATAKA,BELGAUM,BYLAHONGAL,17:00.8
,AGRICULTURE,Others,Others,Weather,Asked about weather report ofATHANI,Thunderstorms early. Low 25ï¿½ï¿½C. Winds WSW at 10 to 15 km/h. Chance of rain ,KARNATAKA,BELGAUM,ATHNI,28:32.9
,AGRICULTURE,Others,Others,Fertilizer Use and Availability,IRRELEVANT CALL,IRRELEVANT CALL,KARNATAKA,BELGAUM,BELGAUM,34:47.5
,AGRICULTURE,Others,Others,Weather,Asked about Weather report of taluk  athni,DAY38ï¿½ï¿½HIRealFeelï¿½ï¿½ 40ï¿½ï¿½Precipitation 25%Hazy sun; very warm; air quality will be ve,KARNATAKA,BELGAUM,ATHNI,09:38.0
,HORTICULTURE,Fruits,Guava,Nutrient Management,Asked about Nutrient management in GUAVA,Recommended to useManuring and Inter cultivationManure the plants in the beginning of the monsoon and give protective irrigation at fortnightly intervals.Which helps to get good yields.Recommended to spray PLANOFIX @ 1 ml/4 litre of water to prevent flower drop and fruit/seed setting.,KARNATAKA,BELGAUM,BELGAUM,25:10.5
,HORTICULTURE,Vegetables,Brinjal,Seeds and Planting Material,Asked about sowing season,"VeritiesTime of PlantingSpacing (feet)Seeds (g/acre)Yield (tons/acre)Erengere, Kengeri, Arka shirish, Arka Kusumakar, Arkanidhi, Arkakeshav, Panjab Mothi, Malapur Local, Rampur Local, Arka Anad, Muttigulla, West Coast Round, Pusa KranthiJune- July, October-November and January-February4 x 280 - 10012 - 16",KARNATAKA,BELGAUM,KHANAPUR,52:59.8
,AGRICULTURE,Pulses,Green Gram (Moong Bean/ Moong),"	Plant Protection	",Asked about plant protection in green gram,Recommended to Spray Mancozeb 75 WP. 2.0 g. per lit. waterOR3.0 g.Copper oxychloride 50 WP. /lit. water.Spray 1.7ml. Dimethoate 30 EC. in a lit. water. spray to nursery as well as for transplanted field when leaf hoppers noticed. for brinjal  spray 2.0 ml. Malathion 50 EC./lit.water. ???? ?????? borrerRecommended to spray PLANOFIX @ 1 ml/4 litre of water to prevent flower drop and fruit/seed setting.,KARNATAKA,BELGAUM,ATHNI,05:44.0
,AGRICULTURE,Others,Others,Weather,ASKED ABOUT WEATHER REPORT,"Plant protection(Insects)Insect pestDamage symptomsControl measuresAphidsSuck the juice from tender parts, yellowing and stunted growth.Spray 2.0 ml. Malathion 50 EC. in a lit. water.250 - 300 lit. spray solution required/acre.Leaf eating caterpillarCaterpillar defoliate the plants.Spray 2.0 ml. Malathion 50 EC. in a lit. water.250 - 300 lit. spray solution required/acre.",KARNATAKA,BELGAUM,RAYBAG,40:42.1
,HORTICULTURE,Fruits,Guava,Vegetative Propagation and Tissue Culture,Asked about Crop varieties in guava,"Recommended to useSardar (Lacknow - 49)The plant is dwarf, spreading and bears fruits profusely.Fruits are large, round, light green with white flesh with few seeds.",KARNATAKA,BELGAUM,HUKERI,56:16.0
,AGRICULTURE,Others,Others,Weather,Asked about weather report,Thunderstorms early. Low 22ï¿½ï¿½C. Winds W at 10 to 15 km/h. Chance of rain ,KARNATAKA,BELGAUM,ATHNI,58:50.6
,AGRICULTURE,Others,Others,Market Information,Asked about market rate,COMMODITY: Sweet PumpkinMarketVarietyGradeArrivalsUnitsMin (Rs.)Max (Rs.)Modal (Rs.)BINNY MILL (F&V)Sweet PumpkinAverage60Quintal500700600,KARNATAKA,BELGAUM,BYLAHONGAL,30:47.9
,HORTICULTURE,Vegetables,Chillies,"	Plant Protection	",plant protection,Spray 1.0 g. Carbendazim.,KARNATAKA,BELGAUM,KHANAPUR,37:04.1
,AGRICULTURE,Others,Others,Weather,Asked about weather report of Khanapur taluk,"Partly cloudy,Precipitation 10% there is no chances of occurrence of rain for a week.",KARNATAKA,BELGAUM,KHANAPUR,40:45.4
,HORTICULTURE,Vegetables,Chillies,"	Plant Protection	","Circular spots on leaves, coalesce and drying of such leaves.in chilli",Recommended to spray - Saaf 2g/liter of water,KARNATAKA,BELGAUM,RAYBAG,11:39.2
,HORTICULTURE,Vegetables,Cabbage,Nutrient Management,Asked about Sowing/planting time of  CABBAGE,"Sowing/planting time of  CABBAGE : June - July, October - NovemberNutrient ManagementFarm yard manure: 10 tons/acre.Chemical fertilizers (kg/acre): N : P : K : 60 : 40 : 50",KARNATAKA,BELGAUM,PARASGAD,19:12.8
,HORTICULTURE,Vegetables,Chillies,"	Plant Protection	",Asked about plant protection in CHILLI,suggested to control powdery mildew in chilli by organic method is Collect cow urine and allow it to ferment for one week. Apply a mixture of 10% cow urine and 90% water once daily in 10 days thrice or until signs of disease disappear or Spray a mixture of equal parts milk and water every 3 to 4 days at first sign of mildew,KARNATAKA,BELGAUM,RAYBAG,43:03.0
,AGRICULTURE,Others,Others,Weather,ASKED ABOUT WEATHER REPORT OF ATHNI,Precipitation 11%Hazy; air quality will be unhealthy for sensitive groups,KARNATAKA,BELGAUM,ATHNI,19:07.5
